# field visit time xshift yshift rot scale rms N
j004433+413704 ibft-054.0-f160w 1524594867.0 0.7389699999999948 0.7389699999999948 0.0 1.0 -1.0 -1
j004433+413704 ibft-234.0-f814w 1524594899.0 3.6380000000001473 -1.5158300000000509 0.0 1.0 -1.0 -1
j004433+413704 ibtt-002.0-f140w 1520362384.0 0.0 0.0 0.0 1.0 0.0 0
j004436+413057 ibfd-069.0-f110w 1524595132.0 0.53125 0.90625 0.0 1.0 -1.0 -1
j004436+413057 ibfd-069.0-f160w 1524595168.0 0.28125 0.875 0.0 1.0 -1.0 -1
j004436+413057 ibfd-249.0-f814w 1524595193.0 0.25 6.375 0.0 1.0 -1.0 -1
j004436+413057 ibtt-074.0-f140w 1520362432.0 0.0 0.0 0.0 1.0 0.0 0
j004452+414051 ibft-054.0-f814w 1524595272.0 1.125 2.6875 0.0 1.0 -1.0 -1
j004452+414051 ibft-234.0-f110w 1524595255.0 -6.59375 -1.46875 0.0 1.0 -1.0 -1
j004452+414051 ibft-234.0-f160w 1524595306.0 -4.71875 -7.5 0.0 1.0 -1.0 -1
j004452+414051 ibtt-263.0-f140w 1520362186.0 0.0 0.0 0.0 1.0 0.0 0
j004658+423737 m31-363-bmp-01-240.0-f098m 1524595369.0 -0.9375 -1.5625 0.0 1.0 -1.0 -1
j004658+423737 m31-363-bmp-01-240.0-f105w 1524595386.0 -1.3125 -1.0 0.0 1.0 -1.0 -1
j004658+423737 m31-363-bmp-02-290.0-f140w 1524595401.0 -2.34375 0.96875 0.0 1.0 -1.0 -1
j004658+423737 m31-363-bmp-02-290.0-f160w 1524595414.0 -2.4531299999999874 1.0 0.0 1.0 -1.0 -1
j004830-124803 ibtt3f-btt-3f-149.0-f140w 1513705882.0 -2.8463 -1.6503 0.0093 0.99994 0.206 14
j004857+051814 id1k-262.0-f160w 1520362385.0 3.2232 2.3626 0.034 1.00032 0.252 12
j005522-002710 ib8c-235.0-f110w 1520362527.0 -1.8488 -0.8291 0.0228 1.00044 0.011 7
j005522-002710 ib8c-235.0-f140w 1520362564.0 -2.2504 -0.9161 0.0314 1.00042 0.087 35
j005522-002710 ib8c-239.0-f110w 1520362626.0 -0.6903 -2.3127 0.019 1.00051 0.081 22
j005722-464807 grb111209a-bwx-01-242.0-f125w 1520284346.0 -0.2741 -0.0918 -0.001 1.00018 0.275 57
j005722-464807 grb111209a-bwx-02-242.0-f125w 1520284203.0 0.0 0.0 0.0 1.0 0.0 0
j005722-464807 grb111209a-bwx-03-262.0-f125w 1520284271.0 -0.4333 0.5469 -0.0001 1.00003 0.051 13
j005857-360224 ibtt-092.0-f140w 1513967858.0 -1.912 1.1453 0.0377 1.00133 0.018 23
j010004-510939 ibtt-004.0-f140w 1520363055.0 -4.1726 1.4608 -0.0028 1.00031 0.026 4
j010056+022558 ib8c-229.0-f160w 1520363110.0 0.0 0.0 0.0 1.0 0.0 0
j010311+131615 q0100+13-br9-16-064.0-f140w 1514320466.0 0.0 0.0 0.0 1.0 0.0 0
j010311+131615 q0100-field-b2v-01-279.0-f160w 1514320645.0 10.5109 2.6922 -0.0255 0.99633 2.403 36
j010500+021015 ic3t-095.0-f110w 1520363419.0 -4.4329 0.2449 -0.0009 0.9999 0.065 372
j010500+021015 ic3t-095.0-f814w 1524609886.0 -18.036799999999857 0.7928000000001703 0.0 1.0 -1.0 -1
j010513+021536 ibtt-068.0-f140w 1520363476.0 -1.0294 2.6279 0.007 0.99975 0.223 124
j010513+021536 ic3t-066.0-f110w 1520363596.0 -2.0615 0.7601 0.0222 1.00001 0.078 63
j010513+021536 ic3t-066.0-f160w 1520363745.0 -2.3862 0.8916 0.0207 1.00002 0.048 90
j010513+021536 ic3t-066.0-f814w 1524610153.0 -9.064160000000015 0.0 0.0 1.0 -1.0 -1
j010636+150838 ib8c-247.0-f110w 1513968725.0 -0.74 -1.5688 0.0087 1.00021 0.072 12
j010636+150838 ib8c-247.0-f140w 1513968802.0 -1.0796 -1.6573 0.0122 1.00024 0.051 32
j010636+150838 ib8c-257.0-f110w 1513968888.0 -1.0231 -1.6898 0.0005 1.00028 0.054 22
j010636+150838 ib8c-257.0-f140w 1513968647.0 -1.0335 -1.3538 0.011 1.00018 0.121 4
j010806+163552 hs0105+1619-br9-02-241.0-f140w 1514324836.0 0.0 0.0 0.0 1.0 0.0 0
j010806+163552 hs0105+1619-br9-17-286.0-f140w 1514324902.0 -1.8553 -3.2026 -0.0013 1.00013 0.051 37
j010918+354800 ibtt-300.0-f140w 1520363940.0 -1.7049 1.9779 0.0067 0.99992 0.129 27
j011008-022356 ib8c-234.0-f110w 1520373225.0 0.4277 2.8627 0.0015 1.00076 0.13 35
j011008-022356 ib8c-234.0-f160w 1520371451.0 0.6814 3.3818 0.0027 1.0007 0.271 12
j011008-022356 ib8c-235.0-f110w 1520371278.0 1.4494 3.6296 0.0055 1.0002 0.204 14
j011008-022356 ib8c-235.0-f160w 1520371555.0 1.147 3.6133 0.0049 1.00025 0.041 37
j011008-022356 ib8c-237.0-f110w 1520372779.0 1.2042 3.5901 0.0058 1.00019 0.076 31
j011008-022356 ib8c-237.0-f160w 1520372580.0 1.1482 3.8231 0.0026 1.00016 0.046 28
j011008-022356 ib8c-238.0-f110w 1520372005.0 -0.1518 2.1225 0.0022 1.00071 0.09 60
j011008-022356 ib8c-238.0-f160w 1520371803.0 0.2318 2.7146 0.0038 1.00072 0.081 44
j011008-022356 ib8c-243.0-f110w 1520371666.0 1.0149 2.9661 -0.0049 1.00078 0.104 15
j011008-022356 ib8c-243.0-f160w 1520372464.0 0.337 2.6225 -0.0034 1.00084 0.12 48
j011008-022356 ib8c-247.0-f110w 1520373090.0 0.1357 1.9718 -0.0001 1.00079 0.085 39
j011008-022356 ib8c-247.0-f160w 1520372277.0 0.3421 2.4505 -0.0007 1.00092 0.094 39
j011008-022356 ib8c-250.0-f110w 1520373382.0 0.0658 1.155 -0.0047 1.00092 0.072 42
j011008-022356 ib8c-250.0-f160w 1520372370.0 0.3733 1.71 -0.0057 1.00087 0.1 18
j011008-022356 ib8d-238.0-f098m 1520375545.0 -3.3252 0.4285 0.0054 1.00074 0.299 207
j011008-022356 ib8d-238.0-f125w 1520373842.0 -2.6743 0.8733 0.0067 1.00074 0.093 255
j011008-022356 ib8d-238.0-f160w 1520373505.0 -2.1447 1.4731 0.0044 1.00077 0.106 150
j011008-022356 ib8d-238.0-f606w 1520374259.0 -3.4659 1.251 0.0144 1.00055 0.498 55
j011008-022356 ib8d-246.0-f098m 1520375399.0 0.2515 2.0376 0.0024 1.00027 0.341 120
j011008-022356 ib8d-246.0-f125w 1520373677.0 -0.7811 1.1802 0.0025 1.00072 0.094 151
j011008-022356 ib8d-246.0-f160w 1520373626.0 -0.4507 1.6785 0.001 1.00076 0.112 161
j011008-022356 ib8d-246.0-f606w 1520374647.0 6.4562 5.3766 -0.0099 1.00052 0.478 21
j011008-022356 ib8d-248.0-f098m 1520375183.0 0.1955 2.1654 0.0059 1.00043 0.298 116
j011008-022356 ib8d-248.0-f125w 1520373789.0 -0.8505 1.2945 0.0022 1.00083 0.082 142
j011008-022356 ib8d-248.0-f160w 1520373574.0 -0.5175 1.9074 -0.0014 1.00082 0.129 168
j011008-022356 ib8d-248.0-f606w 1520375070.0 5.1777 4.9046 -0.0079 1.00053 0.364 72
j011008-022356 ib8d-250.0-f098m 1520375458.0 -2.4834 0.386 0.0128 1.00089 0.343 145
j011008-022356 ib8d-250.0-f125w 1520373731.0 -1.4954 0.7689 -0.0033 1.00094 0.095 165
j011008-022356 ib8d-250.0-f160w 1520373598.0 -1.5695 0.9149 -0.0043 1.0009 0.104 193
j011008-022356 ib8d-250.0-f606w 1520374860.0 -1.4401 0.6964 -0.0131 1.00063 0.335 44
j011008-022356 ib8e-231.0-f098m 1520375330.0 -3.3002 0.4277 0.0204 1.00077 0.336 107
j011008-022356 ib8e-231.0-f125w 1520373763.0 -2.8535 0.7471 0.0035 1.00067 0.098 131
j011008-022356 ib8e-231.0-f160w 1520373653.0 -2.5698 1.2225 0.0015 1.00069 0.141 107
j011008-022356 ib8e-238.0-f098m 1520375253.0 -2.9262 0.7378 0.0234 1.00064 0.363 125
j011008-022356 ib8e-238.0-f125w 1520373703.0 -2.2907 1.2936 0.0079 1.00074 0.101 136
j011008-022356 ib8e-238.0-f160w 1520373547.0 -2.381 1.4435 0.0095 1.00074 0.098 156
j011651-205208 mrc0114-211-cou-31-215.0-f140w 1514331469.0 0.7474 0.792 0.0008 0.99908 0.519 15
j011651-205208 mrc0114-211-cou-32-245.0-f140w 1514331591.0 0.939 1.1238 -0.0055 0.99919 0.102 54
j031910-325002 id1k-235.0-f110w 1520536427.0 -0.775229999999965 -4.2637399999999985 0.0 1.0 -1.0 -1
j031910-325002 id1k-235.0-f160w 1520536497.0 -0.27909000000005335 -3.9071400000000125 0.0 1.0 -1.0 -1
j031910-325002 id1k-235.0-f814w 1520536480.0 1.9380999999998494 3.294719999999984 0.0 1.0 -1.0 -1
j064723-623234 wise0647-6232-c2j-03-222.0-f125w 1513650598.0 0.2855 -0.0239 0.0103 1.00039 0.176 144
j064723-623234 wise0647-6232-c2j-0b-131.0-f105w 1513649088.0 2.7292 0.0408 0.005 1.00027 0.08 13
j064723-623234 wise0647-6232-c2j-0c-197.0-f105w 1513649345.0 0.2285 -0.7488 0.0084 1.00024 0.102 32
j064723-623234 wise0647-6232-c2j-0d-311.0-f105w 1513649839.0 0.5198 -0.0446 0.0033 1.00037 0.059 37
j064723-623234 wise0647-6232-c2j-0e-311.0-f105w 1513650080.0 0.0537 -0.3447 0.0061 1.00034 0.05 39
j064723-623234 wise0647-6232-c2j-0h-197.0-f125w 1513650311.0 -0.0248 -1.0435 0.0155 1.00024 0.07 46
j064723-623234 wise0647-6232-c2j-18-197.0-f105w 1513649593.0 0.0586 -0.9066 0.0069 1.00021 0.043 44
j064723-623234 wise0647-6232-c2j-44-311.0-f125w 1513650455.0 0.0861 -0.6506 0.0075 1.00046 0.071 42
j100025+021651 cosmos-01-bhm-29-292.0-f140w 1513633141.0 -0.0315 -0.8425 0.0058 1.0001 0.119 29
j100025+021651 cosmos-02-bhm-30-292.0-f140w 1513635179.0 0.5157 3.1843 0.0091 1.00014 0.266 23
