proposal_id,pi,count,prog_code
11665,"Brown, Thomas M.",15,b46
11666,"Burgasser, Adam J.",53,b1n
11669,"Fruchter, Andrew S.",10,b2r
11670,"Garnavich, Peter M.",86,b51
11671,"Ghez, Andrea M.",18,b41
11675,"Maund, Justyn Robert",18,b4t
11676,"Morris, Mark R.",2,b5p
11677,"Richer, Harvey B.",242,b6v
11678,"Rigby, Jane R.",1,b3l
11679,"Sarazin, Craig L.",12,b1l
11680,"Smith, Graeme H.",4,b2d
11683,"Sun, Ming",3,b9g
11684,"van der Marel, Roeland P.",12,b44
11685,"van Kerkwijk, Marten Henric",5,b1k
11688,"Bedin, Luigi R.",17,b2o
11689,"Dupke, Renato A.",12,b5g
11691,"Goudfrooij, Paul",34,b3n
11694,"Law, David R.",15,b2v
11695,"Luhman, Kevin",20,b1d
11696,"Malkan, Matthew A.",802,b8c
11697,"Piatek, Slawomir Stanislaw",16,b5i
11700,"Trenti, Michele",275,b8d
11701,"Treu, Tommaso L.",2,b19
11702,"Yan, Haojing",104,b8e
11707,"Sahu, Kailash C.",16,bcw
11708,"Andersen, Morten",15,b5w
11709,"Bersier, David",20,b3b
11710,"Blakeslee, John P.",14,b2g
11711,"Blakeslee, John P.",9,b2i
11712,"Blakeslee, John P.",45,b1h
11713,"Bond, Howard E.",2,b6z
11714,"Bond, Howard E.",33,b77
11715,"Bond, Howard E.",2,b73
11716,"Bond, Howard E.",2,b6y
11717,"Cenko, Stephen Bradley",2,b4e
11718,"Dalcanton, Julianne",24,b2w
11719,"Dalcanton, Julianne",52,b2x
11723,"Fesen, Robert A.",2,b31
11724,"Geha, Marla C.",54,b5d
11729,"Holtzman, Jon A.",25,b2j
11730,"Kallivayalil, Nitya",15,b5y
11731,"Kochanek, Chris S.",42,b6k
11732,"Kochanek, Chris S.",25,b13
11734,"Levan, Andrew James",12,b5v
11735,"Mannucci, Filippo",16,b4d
11738,"Miley, George K.",33,b32
11739,"Piotto, Giampaolo",21,b6r
11782,"Gnedin, Oleg Y.",5,b6u
11786,"Bond, Howard E.",2,b7j
11791,"Kochanek, Chris S.",1,b0r
11798,"Sabbi, Elena",4,abv
11801,"Ford, Holland",3,b1p
11802,"Ford, Holland",16,b5q
11803,"Ford, Holland",26,b3g
11818,"Kalas, Paul George",4,b79
11830,"Sambruna, Rita M.",3,b8o
11831,"Kharb, Preeti",2,b95
11832,"Perlman, Eric S.",3,b8t
11833,"Garcia, Michael R.",2,b9d
11835,"Birkinshaw, Mark",11,b8q
11836,"Prestwich, Andrea H.",1,b8p
11838,"Marshall, Herman L.",28,b94
11840,"Levan, Andrew James",14,b93
11841,"Mulchaey, John S.",2,b92
11877,"Lallo, Matthew D.",8,bcy
11880,"Chiaberge, Marco",7,bb5
11887,"Mack, Jennifer",6,bbf
11889,"Bohlin, Ralph C.",4,bbc
11903,"Kalirai, Jason",32,bcd
11904,"Kalirai, Jason",9,bcc
11911,"Sabbi, Elena",115,bc3
11913,"MacKenty, John W.",1,bcg
11916,"Wong, Michael H.",3,bc2
11918,"Dressel, Linda L.",12,bc7
11919,"Dressel, Linda L.",20,bci
11920,"Dressel, Linda L.",3,bck
11921,"Dressel, Linda L.",10,bbp
